Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100nF,
"C11, C2, C6, C8, C9",1206,5,100nF,
C3,0805,1,33nF,
"C4, C5",0805,2,15pF,
C7,0402,1,2.2nF,
D1,0805,1,BLUE,
D2,0805,1,RED,
IC1,SOT-23-6,1,DW01A,
"J1, J3",PinHeader_2x03_P2.54mm_Vertical,2,I2C Port,
J2,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J4,BatteryHolder_MPD_BH-18650-PC2,1,Conn_01x02_Pin,
J6,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
L1,Balun_Johanson_1.6x0.8mm,1,~,
Q1,SOT-23,1,BC847,
Q2,SOIC-8_3.9x4.9mm_P1.27mm,1,IRF7404,
Q5,SOP65P640X120-8N,1,FS8205A,
"R1, R11",0805,2,180,
R10,0805,1,R_PROG,
R2,0805,1,22k 1%,
R3,0805,1,33k,
R4,0805,1,3.3k,
R5,0805,1,100k,
R6,1206,1,100,
R7,0805,1,1k,
R8,0805,1,10k,
SW1,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,RESET,
SW2,PinSocket_1x03_P2.54mm_Vertical,1,POWER,
U2,HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.2mm,1,XC6220B331QR-G,
U3,SOP127P600X175-9N,1,TP4056,
U4,QFN-24-1EP_4x4mm_P0.5mm_EP2.15x2.15mm,1,~,
X1,Crystal_SMD_HC49-SD,1,16MHz,
